order_purchase_date,review_id,review_categories_str_modified,is_delivery_delayed,customer_lat,customer_lng,review_comment_message_en
2018-01-10,e233e51d11511bf30e568c76360ace52,Delivery_Issue,False,-26.46736049454127,-49.09306183541264,I only received 1 Midea Split ESTILO remote control. Missing remote control for Consul air conditioner.
2016-10-05,6d06808638ec0701bccd70bc8d462c28,Delivery_Issue,False,-15.608747432436557,-56.086287763025894,"The product did not arrive within the stipulated time and caused inconvenience because I scheduled my son's vacation trip based on the deadline. I live in Bahia and he is alone in Cuiabá. Now, the house is empty."
2017-10-26,8b230a1373c6dc4bd867099fda1d7039,Delivery_Issue,False,-22.91127562068369,-47.11467894844891,"I bought two units and only received one, what should I do now?"
2017-12-20,ae728c1061bf163b4bd256ad9ee0bb83,Delivery_Issue,False,-19.870304664180168,-44.593325702902746,"This was the order
Bucket with 128 Pieces - Building Blocks 2 units - R$ 25.00 each (NOT DELIVERED)
Sold and delivered by Targaryen
EVA Mat No Letters 36 Pieces Children 1 unit - R$ 35.90 (THIS WAS DELIVERED)"
2017-10-23,72730619a00e0ecdecf0a4ff862d8996,Delivery_Issue,False,-23.382472093966726,-51.92796648966987,I bought three packs of five sheets each of transfer paper for dark fabric and only received two
2017-08-15,487f8ff16eaf366dc7c01652202048c3,Delivery_Issue,False,-22.914390650925082,-43.24569874883489,"Only one piece arrived, but the invoice and warranty state both items."
2018-01-08,ef8ae544c432bb1053ba5990bd0d6227,Delivery_Issue,False,-23.669872959824414,-46.47621306270232,"I DID NOT RECEIVE THE PRODUCT AND IT SHOWS IN THE SYSTEM THAT I RECEIVED, IN ADDITION TO PAYING A HIGH SHIPPING COST"
2017-02-03,185cb85ede91009d7a8e685687c037ee,Delivery_Issue,False,-20.655803964613018,-43.77785932514872,I made my purchase 30 days ago and I still haven't received my product. Needs to improve on deliveries.
2018-08-10,0c9b6ca9b3beaf0fd5d621f63844ea01,Delivery_Issue,False,-23.629487050309788,-46.52414775441366,"I hope to receive it this week, which wouldn't be too extravagant, but... more delays than this would make me give up on Baratheon."
2018-06-22,06f47dacd0575e592bf6a17e922ce6cd,Delivery_Issue,False,-23.557647455396502,-46.93978258666853,"Here it is described as delivered, but I haven't received it yet."
2018-05-14,557ae9c16a8ea3909db2fc5a01bc5151,Delivery_Issue,False,-22.9006237676799,-43.127072924198885,"I ordered 4 bottles of olive oil. 2 arrived one day and the other 2 almost 48 hours later. Contacting the store was very difficult, both via email and phone. The suspense is over, but I won't buy there again."
2016-10-03,a36150969fe6bd09ed011dd78aeb0189,Delivery_Issue,False,-19.468786725450673,-42.56389478130508,"Delay in delivery, I hated the service and I will NEVER buy again. Baratheon was much better when they sold by themselves!"
2018-02-06,b3df5ccdfff218d039dd166e3da759f5,Delivery_Issue,False,-29.650732911333858,-50.782399828363395,"The delivery was scheduled for 02/14, and the tracking indicated that the product had already been delivered on that date, but in reality, it was not delivered. The product was only delivered on 02/28."
2018-01-20,f55ac350831de6694d569e9c0176dacd,Delivery_Issue,False,-23.979090612559922,-46.205438402194986,"It's very disorganized. I bought three products, but they didn't arrive on the same day; they came separately and on different dates."
2018-01-22,6280ca6a9e8c3a56b668ec8c5396caaf,Delivery_Issue,False,-23.691886310998093,-46.79068226944645,It exceeded the expected days.
2017-07-05,5e5ae81fbed794a34c7b44744b168a5f,Delivery_Issue,False,-20.284122537295133,-50.2497039381375,I think they should send it by express mail instead of regular mail
2018-01-03,bfd1c687738141ef5861a1a1269ca855,Delivery_Issue,False,-23.513611625675384,-46.18967506489788,"Of the two products purchased, only one was delivered!"
